Ticker,Date,Period,Actual,Estimate
DUK,2019-05-09,Q1 19 ,1.28,1.239
DVA,2019-05-07,Q1 19 ,0.91,0.931
DVN,2019-04-30,Q1 19 ,0.36,0.276
DXC,2019-05-23,Q4 19 ,2.19,2.088
EA,2019-05-07,Q4 19 ,1.31,0.962
EBAY,2019-04-23,Q1 19 ,0.67,0.628
ECL,2019-04-30,Q1 19 ,1.03,1.02
ED,2019-05-02,Q1 19 ,1.39,1.364
EFX,2019-05-10,Q1 19 ,1.2,1.201
EIX,2019-04-30,Q1 19 ,0.63,0.873
EL,2019-05-01,Q3 19 ,1.55,1.3
EMN,2019-04-25,Q1 19 ,1.77,1.867
EMR,2019-05-07,Q2 19 ,0.86,0.84
EOG,2019-05-02,Q1 19 ,1.19,1.024
EQIX,2019-05-01,Q1 19 ,3.97,4.248
EQR,2019-04-30,Q1 19 ,0.82,0.812
ES,2019-05-01,Q1 19 ,0.97,0.914
ESS,2019-04-24,Q1 19 ,3.23,3.196
ETFC,2019-04-17,Q1 19 ,1.09,0.929
ETN,2019-04-30,Q1 19 ,1.26,1.244
ETR,2019-05-01,Q1 19 ,0.82,0.863
EVRG,2019-05-08,Q1 19 ,0.44,0.406
EW,2019-04-23,Q1 19 ,1.32,1.224
EXC,2019-05-02,Q1 19 ,0.87,0.872
EXPD,2019-05-07,Q1 19 ,0.8,0.832
EXPE,2019-05-02,Q1 19 ,-0.27,-0.369
EXR,2019-04-30,Q1 19 ,1.16,1.136
F,2019-04-25,Q1 19 ,0.44,0.256
FANG,2019-05-07,Q1 19 ,1.39,1.362
FAST,2019-04-11,Q1 19 ,0.34,0.339
FB,2019-04-24,Q1 19 ,1.89,1.619
FBHS,2019-04-24,Q1 19 ,0.63,0.583
FCX,2019-04-25,Q1 19 ,0.05,0.073
FDX,2019-06-25,Q4 19 ,5.01,4.813
FE,2019-04-23,Q1 19 ,0.67,0.67
FFIV,2019-04-24,Q2 19 ,2.57,2.546
FIS,2019-04-30,Q1 19 ,1.64,1.447
FISV,2019-04-30,Q1 19 ,0.84,0.822
FITB,2019-04-23,Q1 19 ,0.63,0.587
FLIR,2019-04-24,Q1 19 ,0.53,0.483
FLS,2019-05-02,Q1 19 ,0.41,0.341
FLT,2019-05-07,Q1 19 ,2.67,2.641
FMC,2019-05-06,Q1 19 ,1.72,1.623
FOXA,2019-05-08,Q3 19 ,0.76,0.669
FRC,2019-04-12,Q1 19 ,1.26,1.226
FRT,2019-05-02,Q1 19 ,1.56,1.558
FTI,2019-04-25,Q1 19 ,0.06,0.318
FTNT,2019-05-02,Q1 19 ,0.46,0.387
FTV,2019-04-25,Q1 19 ,0.69,0.691
GD,2019-04-24,Q1 19 ,2.56,2.415
GE,2019-04-30,Q1 19 ,0.14,0.089
GILD,2019-05-02,Q1 19 ,1.76,1.607
GIS,2019-06-26,Q4 19 ,0.83,0.766
GL,2019-04-17,Q1 19 ,1.64,1.586
GLW,2019-04-30,Q1 19 ,0.4,0.395
GM,2019-04-30,Q1 19 ,1.41,1.1
GOOGL,2019-04-29,Q1 19 ,10.81,10.541
GPC,2019-04-18,Q1 19 ,1.28,1.304
GPN,2019-05-02,Q1 19 ,1.34,1.293
GPS,2019-05-30,Q1 20 ,0.24,0.316
GRMN,2019-05-01,Q1 19 ,0.73,0.706
GS,2019-04-15,Q1 19 ,5.71,4.968
GWW,2019-04-22,Q1 19 ,4.51,4.45
HAL,2019-04-22,Q1 19 ,0.23,0.223
HAS,2019-04-23,Q1 19 ,0.21,-0.112
HBAN,2019-04-25,Q1 19 ,0.32,0.316
HBI,2019-05-02,Q1 19 ,0.27,0.254
HCA,2019-04-30,Q1 19 ,2.97,2.319
HD,2019-05-21,Q1 20 ,2.27,2.182
HES,2019-04-25,Q1 19 ,0.09,-0.266
HFC,2019-05-02,Q1 19 ,0.54,0.385
HIG,2019-05-01,Q1 19 ,1.39,1.234
HII,2019-05-02,Q1 19 ,2.85,3.228
HLT,2019-05-01,Q1 19 ,0.8,0.761
HOG,2019-04-23,Q1 19 ,0.98,0.855
HOLX,2019-05-01,Q2 19 ,0.58,0.566
HON,2019-04-18,Q1 19 ,1.92,1.833
HP,2019-04-24,Q2 19 ,0.56,0.381
HPE,2019-05-23,Q2 19 ,0.42,0.358
HPQ,2019-05-23,Q2 19 ,0.53,0.511
HRB,2019-06-11,Q4 19 ,4.32,4.166
HRL,2019-05-23,Q2 19 ,0.46,0.448
HSIC,2019-05-07,Q1 19 ,0.8,0.759
HST,2019-05-01,Q1 19 ,0.48,0.444
HSY,2019-04-25,Q1 19 ,1.59,1.467
HUM,2019-05-01,Q1 19 ,4.48,4.29
IBM,2019-04-16,Q1 19 ,2.25,2.217
ICE,2019-05-02,Q1 19 ,0.92,0.897
IDXX,2019-05-01,Q1 19 ,1.17,1.052
IEX,2019-04-25,Q1 19 ,1.44,1.369
IFF,2019-05-06,Q1 19 ,1.57,1.502
ILMN,2019-04-25,Q1 19 ,1.6,1.338
INCY,2019-04-30,Q1 19 ,0.62,0.391
INFO,2019-06-26,Q2 19 ,0.71,0.652
INTC,2019-04-25,Q1 19 ,0.89,0.87
INTU,2019-05-23,Q3 19 ,5.23,5.401
IP,2019-04-25,Q1 19 ,1.11,0.906
IPG,2019-04-26,Q1 19 ,0.11,0.048
IPGP,2019-04-30,Q1 19 ,1.02,1.099
IQV,2019-05-01,Q1 19 ,1.53,1.506
IR,2019-04-30,Q1 19 ,0.89,0.797
IRM,2019-04-25,Q1 19 ,0.48,0.512
ISRG,2019-04-18,Q1 19 ,2.61,2.699
IT,2019-05-07,Q1 19 ,0.58,0.527
ITW,2019-04-25,Q1 19 ,1.81,1.805
IVZ,2019-04-25,Q1 19 ,0.56,0.527
JBHT,2019-04-15,Q1 19 ,1.09,1.248
JCI,2019-05-01,Q2 19 ,0.32,0.303
JEC,2019-05-07,Q2 19 ,1.19,1.095
JKHY,2019-04-30,Q3 19 ,0.72,0.764
JNJ,2019-04-16,Q1 19 ,2.1,2.035
JNPR,2019-04-25,Q1 19 ,0.26,0.212
JPM,2019-04-12,Q1 19 ,2.59,2.353
JWN,2019-05-21,Q1 20 ,0.23,0.431
K,2019-05-02,Q1 19 ,1.01,0.948
KEY,2019-04-18,Q1 19 ,0.4,0.414
KEYS,2019-05-29,Q2 19 ,1.22,0.985
KIM,2019-05-02,Q1 19 ,0.38,0.357
KLAC,2019-05-06,Q3 19 ,1.8,1.656
KMB,2019-04-22,Q1 19 ,1.66,1.539
KMI,2019-04-17,Q1 19 ,0.25,0.243
KMX,2019-06-21,Q1 20 ,1.59,1.484
KO,2019-04-23,Q1 19 ,0.48,0.463
KR,2019-06-20,Q1 20 ,0.72,0.714
KSS,2019-05-21,Q1 20 ,0.61,0.675
KSU,2019-04-17,Q1 19 ,1.54,1.436
L,2019-04-29,Q1 19 ,1.2,0.96
LB,2019-05-22,Q1 20 ,0.14,-0.002
LDOS,2019-04-30,Q1 19 ,1.13,1
LEG,2019-04-29,Q1 19 ,0.49,0.522
LEN,2019-06-25,Q2 19 ,1.3,1.138
LH,2019-04-30,Q1 19 ,2.62,2.534
LHX,2019-05-01,Q3 19 ,2.58,2.372
LIN,2019-05-10,Q1 19 ,1.69,1.57
LKQ,2019-04-25,Q1 19 ,0.56,0.561
LLY,2019-04-30,Q1 19 ,1.33,1.301
LMT,2019-04-23,Q1 19 ,5.99,4.343
LNC,2019-05-01,Q1 19 ,2.14,2.034
LNT,2019-05-02,Q1 19 ,0.53,0.514
LOW,2019-05-22,Q1 20 ,1.22,1.327
LRCX,2019-04-24,Q3 19 ,3.7,3.38
LUV,2019-04-25,Q1 19 ,0.7,0.608
LVS,2019-04-17,Q1 19 ,0.91,0.866
LW,2019-04-02,Q3 19 ,0.95,0.823
LYB,2019-04-26,Q1 19 ,2.22,2.17
M,2019-05-15,Q1 20 ,0.44,0.325
MA,2019-04-30,Q1 19 ,1.78,1.656
MAA,2019-05-01,Q1 19 ,1.58,1.509
MAC,2019-05-02,Q1 19 ,0.8,0.798
MAR,2019-05-10,Q1 19 ,1.41,1.337
MAS,2019-04-25,Q1 19 ,0.44,0.473
MCD,2019-04-30,Q1 19 ,1.78,1.754
MCHP,2019-05-07,Q4 19 ,1.48,1.397
MCK,2019-05-08,Q4 19 ,3.69,3.66
MCO,2019-04-24,Q1 19 ,2.07,1.934
MDLZ,2019-04-30,Q1 19 ,0.65,0.612
MDT,2019-05-23,Q4 19 ,1.54,1.464
MET,2019-05-01,Q1 19 ,1.48,1.272
MGM,2019-04-29,Q1 19 ,0.14,0.213
MHK,2019-04-25,Q1 19 ,2.13,2.064
MKC,2019-06-27,Q2 19 ,1.16,1.078
MKTX,2019-04-24,Q1 19 ,1.39,1.375
MLM,2019-04-30,Q1 19 ,0.68,0.33
MMC,2019-04-25,Q1 19 ,1.52,1.452
MMM,2019-04-25,Q1 19 ,2.23,2.485
MNST,2019-05-02,Q1 19 ,0.49,0.424
MO,2019-04-25,Q1 19 ,0.9,0.921
MOS,2019-05-06,Q1 19 ,0.25,0.241
MPC,2019-05-08,Q1 19 ,-0.09,0.05
MRK,2019-04-30,Q1 19 ,1.22,1.051
MRO,2019-05-01,Q1 19 ,0.31,0.07
MS,2019-04-17,Q1 19 ,1.33,1.166
MSCI,2019-05-02,Q1 19 ,1.55,1.4
MSFT,2019-04-24,Q3 19 ,1.14,0.999
MSI,2019-05-02,Q1 19 ,1.28,1.145
MTB,2019-04-15,Q1 19 ,3.35,3.301
MTD,2019-05-09,Q1 19 ,4.1,4.051
MU,2019-06-25,Q3 19 ,1.05,0.784
MXIM,2019-04-30,Q3 19 ,0.52,0.52
MYL,2019-05-07,Q1 19 ,0.82,0.791
NBL,2019-05-03,Q1 19 ,-0.09,-0.064
NCLH,2019-05-09,Q1 19 ,0.83,0.705
NDAQ,2019-04-24,Q1 19 ,1.22,1.163
NEE,2019-04-23,Q1 19 ,2.2,2.047
NEM,2019-04-25,Q1 19 ,0.33,0.273
NFLX,2019-04-16,Q1 19 ,0.76,0.58
NI,2019-05-01,Q1 19 ,0.82,0.77
NKE,2019-06-27,Q4 19 ,0.62,0.658
NLSN,2019-04-30,Q1 19 ,0.35,0.319
NOC,2019-04-24,Q1 19 ,5.06,4.587
NOV,2019-04-25,Q1 19 ,-0.18,-0.08
NOW,2019-04-24,Q1 19 ,0.67,0.543
NRG,2019-05-02,Q1 19 ,0.33,0.43
NSC,2019-04-24,Q1 19 ,2.51,2.179
NTAP,2019-05-22,Q4 19 ,1.22,1.258
NTRS,2019-04-23,Q1 19 ,1.53,1.469
NUE,2019-04-23,Q1 19 ,1.63,1.504
NVDA,2019-05-16,Q1 20 ,0.88,0.81
NVR,2019-04-22,Q1 19 ,47.64,34.448
NWL,2019-05-03,Q1 19 ,0.14,0.03
NWSA,2019-05-09,Q3 19 ,0.04,0.015
O,2019-05-01,Q1 19 ,0.81,0.802
OKE,2019-04-30,Q1 19 ,0.81,0.723
OMC,2019-04-16,Q1 19 ,1.17,1.082
ORCL,2019-06-19,Q4 19 ,1.16,1.074
ORLY,2019-04-24,Q1 19 ,4.05,4.055
PAYX,2019-06-26,Q4 19 ,0.63,0.645
PBCT,2019-04-18,Q1 19 ,0.33,0.333
PCAR,2019-04-30,Q1 19 ,1.81,1.654
PEG,2019-05-02,Q1 19 ,1.08,1.003
PEP,2019-04-17,Q1 19 ,0.97,0.914
PFE,2019-04-30,Q1 19 ,0.85,0.761
PFG,2019-04-25,Q1 19 ,1.43,1.308
PG,2019-04-23,Q3 19 ,1.06,1.032
PGR,2019-04-16,Q1 19 ,1.83,1.359
PH,2019-05-02,Q3 19 ,3.17,3.015
PHM,2019-04-23,Q1 19 ,0.59,0.473
