Ticker,Date,Period,Actual,Estimate
WFC,2019-04-12,Q1 19 ,1.01,1.092
WHR,2019-04-22,Q1 19 ,3.11,2.864
WLTW,2019-05-01,Q1 19 ,2.98,3.024
WM,2019-04-25,Q1 19 ,0.94,0.918
WMB,2019-05-01,Q1 19 ,0.22,0.227
WMT,2019-05-16,Q1 20 ,1.13,1.02
WRK,2019-04-30,Q2 19 ,0.8,0.606
WU,2019-05-07,Q1 19 ,0.39,0.428
WY,2019-04-26,Q1 19 ,0.11,0.092
WYNN,2019-05-09,Q1 19 ,1.61,1.583
XEC,2019-05-08,Q1 19 ,1.2,1.352
XEL,2019-04-25,Q1 19 ,0.61,0.615
XLNX,2019-04-24,Q4 19 ,0.95,0.935
XOM,2019-04-26,Q1 19 ,0.55,0.716
XRAY,2019-05-03,Q1 19 ,0.49,0.386
XRX,2019-04-25,Q1 19 ,0.91,0.8
XYL,2019-05-02,Q1 19 ,0.52,0.564
YUM,2019-05-01,Q1 19 ,0.82,0.813
ZBH,2019-04-26,Q1 19 ,1.87,1.863
ZION,2019-04-22,Q1 19 ,1.04,1.048
ZTS,2019-05-02,Q1 19 ,0.88,0.788
